conflict_id,contract_id,norm_id_1,norm_id_2,norm1,norm2,conf_type
1656,583,114593,114707,"At the end of the term of this Agreement, 7UP/RC may use the Equipment to produce Products as well as other energy drinks.","At the end of the term of this Agreement, 7UP/RC shall not use the Equipment to produce Products as well as other energy drinks.",1
1657,583,114708,114581,"At any time during the term of this Agreement, 7UP/RC shall not pass through and otherwise charge Purchaser for any cost increases for raw materials, labor or as a result of changes in specifications.","At any time during the term of this Agreement, 7UP/RC may pass through and otherwise charge Purchaser for any cost increases for raw materials, labor or as a result of changes in specifications.",1
1658,583,114709,114585,"Purchaser shall not purchase the equipment specified in Exhibit B (the ""Equipment') at its sole cost and expense.","Purchaser shall purchase the equipment specified in Exhibit B (the ""Equipment') at its sole cost and expense.",1
1659,583,114615,114710,"In the event that such recall results from any cause or event arising from defective manufacture of the Product by 7UP/RC, 7UP/RC shall be responsible for all expenses of the recall.","In the event that such recall results from any cause or event arising from defective manufacture of the Product by 7UP/RC, 7UP/RC shall not be responsible for all expenses of the recall.",1
1660,583,114577,114711,"7UP/RC shall charge Purchaser and Purchaser shall pay for Product as specified in Exhibit A, unless 7UP/RC and Purchaser agree in writing to a different price.","7UP/RC may charge Purchaser and Purchaser shall pay for Product as specified in Exhibit A, unless 7UP/RC and Purchaser agree in writing to a different price.",1
1661,583,114589,114712,Purchaser shall also be responsible for all property taxes on the equipment.,Purchaser may also be responsible for all property taxes on the equipment.,1
1662,583,114577,114713,"7UP/RC shall charge Purchaser and Purchaser shall pay for Product as specified in Exhibit A, unless 7UP/RC and Purchaser agree in writing to a different price.","7UP/RC shall not charge Purchaser and Purchaser shall not pay for Product as specified in Exhibit A, unless 7UP/RC and Purchaser agree in writing to a different price.",1
1663,583,114591,114714,7UP/RC shall perform routine maintenance on the Equipment and shall be financially responsible for minor repairs.,7UP/RC shall not perform routine maintenance on the Equipment and shall be financially responsible for minor repairs.,1
1664,583,114583,114715,"If requested by Purchaser, 7UP/RC shall provide Purchaser with suitable evidence establishing that a cost increase did occur.","If requested by Purchaser, 7UP/RC shall not Purchaser with suitable evidence establishing that a cost increase did occur.",1
1665,583,114607,114716,Purchaser shall pay 7UP/RC a deposit equal to 7UP/RC standard rate which shall be refunded to Purchaser when the shells are returned.,Purchaser may pay 7UP/RC a deposit equal to 7UP/RC standard rate which may be refunded to Purchaser when the shells are returned.,1
1666,583,114588,114717,Purchaser shall be responsible for the actual cost of the Equipment.,Purchaser may be responsible for the actual cost of the Equipment.,1
1667,583,114678,114718,Purchaser shall also be financially responsible for all taxes and freight in connection with the New Equipment.,Purchaser may also be financially responsible for all taxes and freight in connection with the New Equipment.,1
1668,583,114575,114719,Purchaser shall assume title and risk of loss for Product ordered upon delivery of Product to transport.,Purchaser shall not assume title and risk of loss for Product ordered upon delivery of Product to transport.,1
1669,585,115201,115233,2.7 AMFS agrees that no fees shall be charged for the license granted hereunder.,2.7 AMFS agrees that no fees shall not be charged for the license granted hereunder.,1
1670,586,115293,115381,9.5 The Company shall provide to the Customer written notification not less than thirty (30) days of any changes to the fees referred to herein due to direct increase/decrease costs by Company.,9.5 The Company shall not provide to the Customer written notification not less than thirty (30) days of any changes to the fees referred to herein due to direct increase/decrease costs by Company.,1
1671,586,115339,115383,The Company may terminate the contract without cause and at no liability to the Company.,The Company shall not terminate the contract without cause and at no liability to the Company.,1
1672,586,115266,115384,"2 4.3 The Company shall supply the Ingredients and Packaging Materials set forth in Schedule ""A"" or as mutually agreed to by the Company and the Customer.","2 4.3 The Company shall not supply the Ingredients and Packaging Materials set forth in Schedule ""A"" or as mutually agreed to by the Company and the Customer.",1
1673,586,115286,115385,8.2 The Customer shall be allowed to return 48 x 40 fourway hardwood pallets and to receive credit for those returned as long as the Company is satisfied with the condition of such pallet.,8.2 The Customer shall not be allowed to return 48 x 40 fourway hardwood pallets and to receive credit for those returned as long as the Company is satisfied with the condition of such pallet.,1
1674,586,115265,115386,"Upon receipt of debt owed, the Company will then release all Ingredients and Packaging Materials to the Customer.","Upon receipt of debt owed, the Company shall not then release all Ingredients and Packaging Materials to the Customer.",1
1675,587,115574,115727,"Ligand shall solely control the implementation of any such recall, field alert, withdrawal or field correction.","Ligand shall not solely control the implementation of any such recall, field alert, withdrawal or field correction.",1
1676,587,115464,115723,Ligand shall be permitted to send a representative to inventory API at Cardinal Health upon reasonable prior notice and not more than once in any 12month period.,Ligand may be permitted to send a representative to inventory API at Cardinal Health upon reasonable prior notice and not more than once in any 12month period.,1
1677,587,115523,115724,Ligand shall qualify at least one (1) carrier to ship the Product to Cardinal Health.,Ligand may qualify at least one (1) carrier to ship the Product to Cardinal Health.,1
1678,587,115519,115725,Cardinal Health shall segregate and store all Product until acceptance as set forth in Section 5.1 above.,Cardinal Health shall not segregate and store all Product until acceptance as set forth in Section 5.1 above.,1
1679,587,115529,115726,"Ligand shall pay to Cardinal Health the unit pricing set forth on EXHIBIT D (""Unit Pricing"") for all Product.","Ligand shall not to Cardinal Health the unit pricing set forth on EXHIBIT D (""Unit Pricing"") for all Product.",1
1680,587,115574,115727,"Ligand shall solely control the implementation of any such recall, field alert, withdrawal or field correction.","Ligand shall not solely control the implementation of any such recall, field alert, withdrawal or field correction.",1
1681,587,115479,115728,Ligand shall submit each Purchase Order to Cardinal Health at least one hundred and twenty (120) days in advance of the earliest Delivery Date requested in the Purchase Order.,Ligand may submit each Purchase Order to Cardinal Health at least one hundred and twenty (120) days in advance of the earliest Delivery Date requested in the Purchase Order.,1
1682,587,115466,115729,"Ligand shall provide or approve, prior to the procurement of applicable components, all artwork, advertising and packaging information necessary to Manufacture or Package the Product.","Ligand shall not provide or approve, prior to the procurement of applicable components, all artwork, advertising and packaging information necessary to Manufacture or Package the Product.",1
1683,587,115489,115730,"Notwithstanding the foregoing, Ligand shall remain responsible for the Firm Commitment portion of the Rolling Forecast.","Notwithstanding the foregoing, Ligand shall not remain responsible for the Firm Commitment portion of the Rolling Forecast.",1
1684,587,115493,115731,"Cardinal Health shall timely fill each Purchase Order, subject to the terms and conditions of this Agreement.","Cardinal Health may timely fill each Purchase Order, subject to the terms and conditions of this Agreement.",1
1685,588,115793,115974,(v) Hershey will invoice Topps for the Packaged Products produced by Hershey at the time of shipment of such Packaged Products to Topps.,(v) Hershey will not invoice Topps for the Packaged Products produced by Hershey at the time of shipment of such Packaged Products to Topps.,1
1686,588,115975,115836,Hershey will cooperate in no shipping procedures.,Hershey will cooperate in all shipping procedures.,3
1687,588,115976,115778,Hershey may give Topps notice of any and all pricing changes promptly once Hershey learns of such changes and copies of the notices or invoices received from its vendor shall be forwarded along.,Hershey shall give Topps notice of all pricing changes promptly after Hershey learns of such changes along with copies of the notices or invoices received from its vendor.,1
1688,588,115977,115857,"In the event that Topps purchases less than such amount, the prices should be adjusted to reflect any increases in cost to Hershey.","In the event that Topps purchases less than such amount, the prices shall be adjusted to reflect any increased cost to Hershey.",1
1689,589,116042,116257,"Notwithstanding the foregoing, Cinram will have no right to use the Content Software for or on behalf of any Third Party.","Notwithstanding the foregoing, Cinram may use the Content Software for or on behalf of any Third Party.",2
1690,590,116334,116461,CoPacker shall reimburse WWI in full for the quantity of the Products rejected and returned.,CoPacker may reimburse WWI in full for the quantity of the Products rejected and returned.,1
1691,590,116335,116462,CoPacker shall assume all costs of transportation and handling both ways for such rejected Products.,CoPacker shall not assume all costs of transportation and handling both ways for such rejected Products.,1
1692,590,116315,116463,CoPacker shall deliver all the Products that WWI purchases under this Agreement to WWI F.O.B.,CoPacker may deliver all the Products that WWI purchases under this Agreement to WWI F.O.B.,1
1693,590,116388,116464,"CoPacker may not use any of such trademarks or trade names, except as WWI authorizes in writing.","CoPacker may use any of such trademarks or trade names, except as WWI authorizes in writing.",1
1694,590,116332,116465,Payments by WWI for any quantity of the Products shall not constitute approval or acceptance of such Products.,Payments by WWI for any quantity of the Products shall constitute approval or acceptance of such Products.,1
1695,590,116337,116466,"Upon request of WWI, CoPacker shall certify in writing to WWI that all such trademarks, trade names, and identifying marks have been removed from any rejected Products.","Upon request of WWI, CoPacker shall not certify in writing to WWI that all such trademarks, trade names, and identifying marks have been removed from any rejected Products.",1
1696,590,116338,116467,CoPacker shall furnish to WWI without charge samples of the Products that WWI reasonably requests for quality control testing and evaluation.,CoPacker may furnish to WWI without charge samples of the Products that WWI reasonably requests for quality control testing and evaluation.,1
1697,590,116289,116468,Copacker shall be the exclusive supplier of the Products within the continental United States of America during the term of this Agreement.,Copacker may be the exclusive supplier of the Products within the continental United States of America during the term of this Agreement.,1
1698,590,116328,116469,"CoPacker may restrict access by WWI's representatives to only those areas where the Products and ingredients and materials for the Products are processed, tested, or stored.","CoPacker may not restrict access by WWI's representatives to only those areas where the Products and ingredients and materials for the Products are processed, tested, or stored.",1
1699,590,116279,116470,"Notwithstanding anything contained herein to the contrary, WWI shall not be required to purchase any minimum quantity of the Products.","Notwithstanding anything contained herein to the contrary, WWI shall be required to purchase any minimum quantity of the Products.",1
1700,590,116279,116471,"Notwithstanding anything contained herein to the contrary, WWI shall not be required to purchase any minimum quantity of the Products.","Notwithstanding anything contained herein to the contrary, WWI may be required to purchase any minimum quantity of the Products.",1
1701,591,116773,116891,"In addition, CBSH may disclose the identity of SERAGEN as a customer of CBSH to other customers and potential customers.",CBSH must not disclose the identify of SERAGEN from the list of potential customers as other types of transactions may occur.,2
1702,591,116617,116892,"SERAGEN and CBSH will negotiate in good faith, terms for the continuance or discontinuation of the manufacture of any such replacement Batch.",The parties shall not negotiate outside this contract.,2
1703,593,117255,117403,Customer shall provide suitable and easily accessible space for installation of the Equipment within the premises.,It is not an obligation to Customer to provide suitable and easily accessible space for installation of the Equipament.,2
1704,593,117278,117404,"Supplier will provide documents, manuals, and visual aids to be utilized in the required training of Customer's employees in use of Equipment and Software purchased under this Agreement.",Suplier shall not provide anything to be utilized in the required training of employees from Customer during the use of Equipament and Software purchased.,2
1705,476,117487,117767,Novoste shall execute all documents reasonably required to provide a secondary security interest in and to the Hot Cell(s) to QSA.," Novoste must execute all documents reasonably required to provide a secondary security interest in and to the Hot Cell(s) to QSA, only when required",4
1707,476,117654,117769,QSA shall be responsible for implementing and complying with any new or revised regulatory requirements arising after the Effective Date relating to QSA's performance of this Agreement.,ent. QSA cannot be responsible for implementing and complying with any new or revised regulatory requirem,3
1708,476,117607,117770,Novoste may not settle nor compromise any such legal action without the written consent of QSA.,nts. Novoste can settle or compromise any legal action without the written consent of,2
1709,475,117825,117904,"3.7 CONTRACT CANCELLATION CHARGES For the convenience of the Buyers, and if agreed to by AEI, Buyer may cancel the remaining orders under the following conditions: a.",In any possible case shall Buyer cancel the remaining orders.,2
1710,577,118041,118207,"Medica shall also maintain records with respect to its costs, obligations, and performance under this agreement.","With respect to its costs, obligations, and performance under this agreement, Medica is not obliged to maintain records.",2
1711,577,117940,118208,Nephros may not further postpone delivery of any Cartridges the delivery of which was previously postponed.,Nephros may delay for at most three days the delivery of any Cartridges after a previous postponed delivery.,2
1712,577,118019,118209,"On written request from Nephros, Medica shall within 10 Business Days provide Nephros written confirmation that they have complied with the foregoing obligation.","Medica shall within 20 Business Days provide Nephros written confirmation that they have complied with the foregoing obligation, when requested from Nephros.",3
1713,577,117969,118210,"(a) Nephros may reject any Cartridge that does not meet the Specifications or otherwise comply with this agreement (any such Cartridge, a ""Nonconforming Cartridge"").",Nephros shall not reject any Cartridge that does not meet the Specification or comply with this agreement until it is tested.,2
1714,479,91564,118436,The final report shall contain: 1) Title Page as described above in paragraph a.1).,The final report may contain a title page.,2
2390,602,119147,119333,"Such rights may be exercised through any agent or employee of ECC or one of its Affiliates designated by ECC or by independent certified public accountants or attorneys designated by ECC; provided, however, ECC shall not be charged any expense for document requests reasonably necessary to calculate or confirm ECC's payment obligations, or Sweetheart's or ECC's right to receive distributions pursuant to Sections 7.1 or 7.2 hereof; and provided further that Sweetheart shall reimburse ECC for the actual costs of the review if it is determined that, as a result of the review, ECC is owed at least $150,000.",Every expense on documents shall be charged from ECC.,2
2391,602,118962,119334,"(d) All alterations of and improvements to the Facility, including those necessary to cause the Facility to comply with the requirements of this Section 3.1, shall be the property of Sweetheart.",Improvements or alterations to the Facility will not be property of Sweetheart.,2
2392,602,118959,119335,The Facility shall meet all legal and administrative code standards applicable to the conduct of the Principal Activity thereat.,"Only if previously agreed, the Facility ought to follow legal and administrative code standards.",4
2393,603,119413,119583,The operation and maintenance of the System shall be in accordance with all applicable Requirements of Law and shall be the responsibility of MOPAC except that Biopure shall pay its share of the costs of operating the System as provided above.,The operation and maintenance of the System may be in accordance with all applicable Requirements of Law and shall be the responsibility of MOPAC except that Biopure shall pay its share of the costs of operating the System as provided above.,1
2394,472,89715,119584,"Autotote shall make available to Sisal one (1) working prototype of the Terminal by May 1, 1998.","Autotote shall make available to Sisal one (1) working prototype of the Terminal by June 12, 1998.",3
2395,472,89685,119585,Autotote will own the Intellectual Property Rights to all said prototypes.,Autotote shall not own the Intellectual Property Rights to prototypes.,2
